gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
4881368210	StillImage	image/jpeg	https://observation.org/photos/84605067.jpg							P. Hovenkamp			http://creativecommons.org/licenses/by-nc-nd/4.0/	P. Hovenkamp
4881366765	StillImage	image/jpeg	https://observation.org/photos/62951343.jpg							Peter Gels			http://creativecommons.org/licenses/by-nc-nd/4.0/	Peter Gels
4881358061	StillImage	image/jpeg	https://observation.org/photos/84996863.jpg							Andre de Wit			http://creativecommons.org/licenses/by-nc-nd/4.0/	Andre de Wit
4881336959	StillImage	image/jpeg	https://observation.org/photos/84138610.jpg							Dorothee Scharping-Hammad			http://creativecommons.org/licenses/by-nc-nd/4.0/	Dorothee Scharping-Hammad
4881333873	StillImage	image/jpeg	https://observation.org/photos/84999198.jpg							H.F. van der weide			http://creativecommons.org/licenses/by-nc-nd/4.0/	H.F. van der weide
4881285147	StillImage	image/jpeg	https://observation.org/photos/79221088.jpg							P. Hovenkamp			http://creativecommons.org/licenses/by-nc-nd/4.0/	P. Hovenkamp
4881285147	StillImage	image/jpeg	https://observation.org/photos/79221087.jpg							P. Hovenkamp			http://creativecommons.org/licenses/by-nc-nd/4.0/	P. Hovenkamp
4881285147	StillImage	image/jpeg	https://observation.org/photos/79221086.jpg							P. Hovenkamp			http://creativecommons.org/licenses/by-nc-nd/4.0/	P. Hovenkamp
4881257536	StillImage	image/jpeg	https://observation.org/photos/83180827.jpg							Dorothee Scharping-Hammad			http://creativecommons.org/licenses/by-nc-nd/4.0/	Dorothee Scharping-Hammad
4881250581	StillImage	image/jpeg	https://observation.org/photos/81488250.jpg							P. Hovenkamp			http://creativecommons.org/licenses/by-nc-nd/4.0/	P. Hovenkamp
4881250581	StillImage	image/jpeg	https://observation.org/photos/81488252.jpg							P. Hovenkamp			http://creativecommons.org/licenses/by-nc-nd/4.0/	P. Hovenkamp
4881250581	StillImage	image/jpeg	https://observation.org/photos/81488251.jpg							P. Hovenkamp			http://creativecommons.org/licenses/by-nc-nd/4.0/	P. Hovenkamp
4881250454	StillImage	image/jpeg	https://observation.org/photos/82406111.jpg							P. Hovenkamp			http://creativecommons.org/licenses/by-nc-nd/4.0/	P. Hovenkamp
4881250454	StillImage	image/jpeg	https://observation.org/photos/82406110.jpg							P. Hovenkamp			http://creativecommons.org/licenses/by-nc-nd/4.0/	P. Hovenkamp
4881246292	StillImage	image/jpeg	https://observation.org/photos/81979614.jpg							P. Hovenkamp			http://creativecommons.org/licenses/by-nc-nd/4.0/	P. Hovenkamp
4881246292	StillImage	image/jpeg	https://observation.org/photos/81979613.jpg							P. Hovenkamp			http://creativecommons.org/licenses/by-nc-nd/4.0/	P. Hovenkamp
4881246292	StillImage	image/jpeg	https://observation.org/photos/81979612.jpg							P. Hovenkamp			http://creativecommons.org/licenses/by-nc-nd/4.0/	P. Hovenkamp
4881240045	StillImage	image/jpeg	https://observation.org/photos/87772501.jpg							Gonny van Dalfsen			http://creativecommons.org/licenses/by-nc-nd/4.0/	Gonny van Dalfsen
4881228469	StillImage	image/jpeg	https://observation.org/photos/81465416.jpg							P. Hovenkamp			http://creativecommons.org/licenses/by-nc-nd/4.0/	P. Hovenkamp
